ID,Year,Player,Pos,Height,Experience,Weight,BMI,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,AST/TOV,STL/TOV,TOV,PF,PTS
23218,2015,Brook Lopez,C,197.5,5,99.45,25.49591412,26,BRK,72,44,2100,22.7,0.558,0.01,0.278,11.5,17.1,14.3,4.5,1.1,4.8,8.6,26.3,,4.7,2.2,7,0.159,,0.5,-0.3,0.2,1.1,506,987,0.513,1,10,0.1,505,977,0.517,0.513,223,274,0.814,214,321,535,50,43,126,1.53,0.53,104,206,1236
22956,2015,Bruno Caboclo,SF,202.5,R,98.1,23.92318244,19,TOR,8,0,23,-1.8,0.417,0.25,0,5,5,5,0,0,3.5,25,31.5,,-0.1,0,-0.1,-0.275,,-12.6,-6.3,-18.9,-0.1,4,12,0.333,2,3,0.667,2,9,0.222,0.417,0,0,,1,1,2,0,0,1,0,0,4,3,10
22989,2015,Bryce Cotton,PG,182.5,R,74.25,22.29311315,22,UTA,15,0,159,14.5,0.52,0.29,0.261,2.2,10.8,6.5,17,1.3,0,13.5,25.6,,0.1,0.1,0.2,0.067,,-1.2,-3.2,-4.4,-0.1,29,69,0.42,7,20,0.35,22,49,0.449,0.471,15,18,0.833,3,15,18,15,4,0,1.25,0.33,12,6,80
23238,2015,C.J. McCollum,SG,190,1,90,24.93074792,23,POR,62,3,973,13.1,0.534,0.381,0.2,1.6,8.3,5,10.3,2.3,0.6,10.8,20.5,,0.7,1.1,1.8,0.089,,-0.4,-0.3,-0.7,0.3,159,365,0.436,55,139,0.396,104,226,0.46,0.511,51,73,0.699,14,77,91,64,43,8,1.33,0.9,48,81,424
23253,2015,C.J. Miles,SG,195,9,101.25,26.62721893,27,IND,70,40,1841,14.1,0.525,0.539,0.195,1.1,11.7,6.4,7.1,1.7,1.1,7.5,23.9,,1.3,2.3,3.6,0.093,,1,-1.3,-0.3,0.8,329,827,0.398,154,446,0.345,175,381,0.459,0.491,130,161,0.807,18,196,214,75,60,26,1.03,0.82,73,132,942
23475,2015,C.J. Watson,PG,185,7,78.75,23.00949598,30,IND,57,21,1422,15.4,0.581,0.42,0.4,1.4,11.2,6.3,23.3,2.1,0.5,16.9,18.8,,2.2,1.8,4,0.135,,1.4,0.1,1.5,1.3,181,417,0.434,70,175,0.4,111,242,0.459,0.518,138,167,0.826,18,145,163,208,57,9,2.08,0.57,100,107,570
23484,2015,C.J. Wilcox,SG,,,,,24,LAC,21,0,101,8.5,0.527,0.5,0.053,1.1,6.5,3.9,12,1.5,0.8,20.5,21.8,,-0.1,0.1,0,-0.024,,-3.3,-2.7,-6,-0.1,16,38,0.421,7,19,0.368,9,19,0.474,0.513,2,2,1,1,6,7,8,3,1,0.8,0.3,10,7,41
22898,2015,Cameron Bairstow,PF,202.5,R,112.5,27.43484225,24,CHI,18,1,64,2.1,0.309,0,0.357,10.5,3.3,6.8,2.2,1.6,1.1,15.6,13.5,,-0.1,0,-0.1,-0.048,,-6.7,-1,-7.7,-0.1,3,14,0.214,0,0,,3,14,0.214,0.214,4,5,0.8,6,2,8,1,2,1,0.33,0.67,3,8,10
23200,2015,Carl Landry,PF,190,4,94.5,26.17728532,31,SAC,70,15,1192,14.9,0.578,0,0.407,9.8,15.5,12.8,3.6,0.6,1.1,11,18.1,,2.3,0.5,2.8,0.112,,-1,-2.6,-3.6,-0.5,190,369,0.515,0,0,,190,369,0.515,0.515,123,150,0.82,99,169,268,26,15,17,1.54,0.35,54,132,503
22932,2015,Carlos Boozer,PF,202.5,12,116.1,28.3127572,33,LAL,71,26,1692,16.4,0.517,0,0.202,7,25.2,15.7,10.3,1.2,0.6,10.2,23.7,,1.2,1,2.2,0.062,,-1.8,-1.5,-3.3,-0.6,371,743,0.499,0,0,,371,743,0.499,0.499,94,150,0.627,111,371,482,95,41,12,1.03,0.45,92,184,836
